Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
34,tt10665342,2022-10-18,2022-11-15,"Opening Weekend: $40,050,355
Domestic: $64,039,045
International: $40,107,000

TOTAL: $104,146,045",Halloween Ends,https://www.imdb.com/title/tt10665342/,movie,5.0,111,2022,"Horror, Thriller",55067,2022-10-06,David Gordon Green
35,tt8178634,2022-04-08,2022-12-06,"Domestic: $11,113,000
International: $91,053,248

TOTAL: $102,166,248 (Indian movie) ",RRR (Rise Roar Revolt),https://www.imdb.com/title/tt8178634/,movie,7.9,187,2022,"Action, Adventure, Drama",132513,2022-03-24,S.S. Rajamouli
36,tt14668630,2022-10-11,2023-01-18,"Opening Weekend: $11,401,182
Domestic: $46,786,108
International: $55,300,000

TOTAL: $102,086,108","Lyle, Lyle, Crocodile",https://www.imdb.com/title/tt14668630/,movie,6.1,106,2022,"Animation, Adventure, Comedy, Family, Fantasy, Musical",6885,2022-10-07,"Will Speck, Josh Gordon"
37,tt15838850,2022-06-13,2022-10-11,"Domestic: $812,859
International: $100,333,648

TOTAL: $101,146,507 (South Korean movie) ",Beomjoidosi 2,https://www.imdb.com/title/tt15838850/,movie,7.0,106,2022,"Action, Crime, Thriller",6025,2022-05-18,Sang-yong Lee
38,tt16428256,2022-12-28,2023-01-18,"Opening Weekend:
Domestic:
International: $97,665,051

TOTAL: $97,665,051 (Japanese movie) ",Suzume no tojimari,https://www.imdb.com/title/tt16428256/,movie,7.9,122,2022,"Animation, Action, Adventure, Fantasy",798,2022-11-11,Makoto Shinkai
39,tt11703710,2022-05-23,2023-01-18,"Opening Weekend: $16,000,495
Domestic: $44,141,550
International: $48,459,987

TOTAL: $92,601,537",Downton Abbey: A New Era,https://www.imdb.com/title/tt11703710/,movie,7.4,124,2022,"Drama, Romance",24133,2022-04-27,Simon Curtis
40,tt8093700,2022-09-20,2023-01-18,"Opening Weekend: $19,051,442
Domestic: $67,286,711
International: $25,100,000

TOTAL: $92,282,656",The Woman King,https://www.imdb.com/title/tt8093700/,movie,6.7,135,2022,"Action, Drama, History",46753,2022-09-09,Gina Prince-Bythewood
41,tt10698680,2022-06-07,2022-06-27,"Domestic: $2,874,000
International: $86,249,940

TOTAL: $89,123,940 (Indian movie) ",K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/,movie,8.3,168,2022,"Action, Crime, Drama, Thriller",136035,2022-04-13,Prashanth Neel
42,tt10731256,2022-09-27,2023-01-18,"Opening Weekend: $19,353,213
Domestic: $45,307,874
International: $42,100,000

TOTAL: $87,409,403",Don't Worry Darling,https://www.imdb.com/title/tt10731256/,movie,6.2,123,2022,"Drama, Thriller",98967,2022-09-05,Olivia Wilde
43,tt14614892,2022-08-22,2022-10-11,"Opening Weekend: $20,100,000
Domestic: $38,112,140
International: $48,450,000

TOTAL: $86,562,140",Doragon bôru sûpâ: Sûpâ hîrô,https://www.imdb.com/title/tt14614892/,movie,7.1,100,2022,"Animation, Action, Adventure, Fantasy",10146,2022-06-11,Tetsuro Kodama
